bin_id,start_time_s,end_time_s,label_time_s,x_cm,y_cm,arm,arm_fraction,is_transition
0,0,0.5,0.24,0,0,center,1,False
1,0.5,1,0.74,0,0,center,1,False
2,1,1.5,1.24,0,0,center,1,False
3,1.5,2,1.74,0.270589362034,-0.713986960851,center,1,False
4,2,2.5,2.24,1.28617558139,-3.59633738242,south_closed,0.68,True
5,2.5,3,2.74,2.19917965914,-7.79778212828,south_closed,1,False
6,3,3.5,3.24,2.02363145523,-12.3483989012,south_closed,1,False
7,3.5,4,3.74,0.962226419742,-16.2782654038,south_closed,1,False
8,4,4.5,4.24,0.10458348197,-18.6174593389,south_closed,1,False
9,4.5,5,4.74,0,-18.8928655421,south_closed,1,False
10,5,5.5,5.24,0,-18.8928655421,south_closed,1,False
11,5.5,6,5.74,0,-18.8928655421,south_closed,1,False
12,6,6.5,6.24,0,-18.8928655421,south_closed,1,False
13,6.5,7,6.74,-0.299912422979,-18.1010778807,south_closed,1,False
14,7,7.5,7.24,-1.33261224972,-15.1473411781,south_closed,1,False
15,7.5,8,7.74,-2.2168663983,-10.913307043,south_closed,1,False
16,8,8.5,8.24,-1.99182460476,-6.36889777285,south_closed,1,False
17,8.5,9,8.74,-0.917019178276,-2.48403566482,center,0.64,True
18,9,9.5,9.24,-0.0868349383659,-0.228643016212,center,1,False
19,9.5,10,9.74,0,0,center,1,False
20,10,10.5,10.24,0.0212884479699,0.889185554245,center,1,False
21,10.5,11,10.74,0.11782785473,5.16453261304,north_closed,0.92,True
22,11,11.5,11.24,0.214385792538,11.6358105454,north_closed,1,False
23,11.5,12,11.74,0.209420515253,18.7989571092,north_closed,1,False
24,12,12.5,12.24,0.108615313454,25.1499100622,north_closed,1,False
25,12.5,13,12.74,0.0164592037957,29.1846071622,north_closed,1,False
26,13,13.5,13.24,0,29.8716788378,north_closed,1,False
27,13.5,14,13.74,-0.00552628260104,29.641168264,north_closed,1,False
28,14,14.5,14.24,-0.0817108877903,26.3861770303,north_closed,1,False
29,14.5,15,14.74,-0.190653539458,20.4539550055,north_closed,1,False
30,15,15.5,15.24,-0.224809704829,13.3485644318,north_closed,1,False
31,15.5,16,15.74,-0.145361634264,6.57406755142,north_closed,1,False
32,16,16.5,16.24,-0.0389974066787,1.63452660648,center,0.84,True
33,16.5,17,16.74,0,0,center,1,False
34,17,17.5,17.24,0,0,center,1,False
35,17.5,18,17.74,0,0,center,1,False
36,18,18.5,18.24,0.175062089534,0.0329974783168,center,1,False
37,18.5,19,18.74,3.23304035499,0.595097339586,east_open,0.56,True
38,19,19.5,19.24,8.90822593906,1.39298092828,east_open,1,False
39,19.5,20,19.74,15.6427573426,1.56440495798,east_open,1,False
40,20,20.5,20.24,21.8787730663,0.898777977935,east_open,1,False
41,20.5,21,20.74,26.0584116112,0.164902451668,east_open,1,False
42,21,21.5,21.24,26.9347357074,0,east_open,1,False
43,21.5,22,21.74,25.7169782222,-0.228780176828,east_open,1,False
44,22,22.5,22.24,21.2083193287,-1.00096092088,east_open,1,False
45,22.5,23,22.74,14.8302266362,-1.59577428507,east_open,1,False
46,23,23.5,23.24,8.14056164383,-1.31412417957,east_open,1,False
47,23.5,24,23.74,2.69718585084,-0.500083298212,center,0.56,True
48,24,24.5,24.24,0.0579607563641,-0.0109257072324,center,1,False
49,24.5,25,24.74,0,0,center,1,False
50,25,25.5,25.24,0,0,center,1,False
51,25.5,26,25.74,-1.70806554949,0.557570150195,center,0.8,True
52,26,26.5,26.24,-6.80180384303,1.78381826202,west_open,1,False
53,26.5,27,26.74,-12.8835943078,1.59185830759,west_open,1,False
54,27,27.5,27.24,-17.4833065157,0.337702372209,west_open,1,False
55,27.5,28,27.74,-18.5085621447,0,west_open,1,False
56,28,28.5,28.24,-18.5085621447,0,west_open,1,False
57,28.5,29,28.74,-17.7132723651,-0.262483399342,west_open,1,False
58,29,29.5,29.24,-13.3388360522,-1.50011553526,west_open,1,False
59,29.5,30,29.74,-7.28471104822,-1.84240049323,west_open,1,False
60,30,30.5,30.24,-2.02102778123,-0.656019806887,center,0.72,True
61,30.5,31,30.74,0,0,center,1,False
62,31,31.5,31.24,0,0,center,1,False
63,31.5,32,31.74,0,0,center,1,False
64,32,32.5,32.24,-0.0588454105791,-0.361278435394,center,1,False
65,32.5,33,32.74,-0.352419436147,-2.18953510743,center,0.8,True
66,33,33.5,33.24,-0.790223601449,-5.20017061496,south_closed,1,False
67,33.5,34,33.74,-1.18147514939,-8.98546811817,south_closed,1,False
68,34,34.5,34.24,-1.31739138899,-13.1377107772,south_closed,1,False
69,34.5,35,34.74,-1.11787208647,-17.2491817523,south_closed,1,False
70,35,35.5,35.24,-0.699219518555,-20.9121642036,south_closed,1,False
71,35.5,36,35.74,-0.277547259677,-23.7189412912,south_closed,1,False
72,36,36.5,36.24,-0.0282494279776,-25.2617961753,south_closed,1,False
73,36.5,37,36.74,0,-25.4351878185,south_closed,1,False
74,37,37.5,37.24,0,-25.4351878185,south_closed,1,False
75,37.5,38,37.74,0,-25.4351878185,south_closed,1,False
76,38,38.5,38.24,0,-25.4351878185,south_closed,1,False
77,38.5,39,38.74,0.00853291977233,-25.3828174058,south_closed,1,False
78,39,39.5,39.24,0.209863515652,-24.1416729832,south_closed,1,False
79,39.5,40,39.74,0.608284159766,-21.555062989,south_closed,1,False
80,40,40.5,40.24,1.04516410079,-18.0307042633,south_closed,1,False
81,40.5,41,40.74,1.30325651673,-13.9763136458,south_closed,1,False
82,41,41.5,41.24,1.23441305402,-9.79960797639,south_closed,1,False
83,41.5,42,41.74,0.879472668114,-5.90830409482,south_closed,1,False
84,42,42.5,42.24,0.433373320634,-2.71011884097,center,0.6,True
85,42.5,43,42.74,0.0997463045677,-0.612769054649,center,1,False
86,43,43.5,43.24,0,0,center,1,False
87,43.5,44,43.74,0,0,center,1,False
88,44,44.5,44.24,-0.0073645218746,-4.25579221048e-05,center,1,False
89,44.5,45,44.74,-1.21972205766,-0.00700919004709,center,1,False
90,45,45.5,45.24,-4.06994657058,-0.0220834025978,west_open,0.84,True
91,45.5,46,45.74,-7.92808922328,-0.0357413389091,west_open,1,False
92,46,46.5,46.24,-12.1642011784,-0.0372525969952,west_open,1,False
93,46.5,47,46.74,-16.1483335985,-0.0253175799164,west_open,1,False
94,47,47.5,47.24,-19.2505376464,-0.00959959824913,west_open,1,False
95,47.5,48,47.74,-20.8408644846,-0.000511806168982,west_open,1,False
96,48,48.5,48.24,-20.9294336113,0,west_open,1,False
97,48.5,49,48.74,-20.9129239122,9.54057745256e-05,west_open,1,False
98,49,49.5,49.24,-19.6229566796,0.0075015398869,west_open,1,False
99,49.5,50,49.74,-16.7203204234,0.022737286052,west_open,1,False
100,50,50.5,50.24,-12.8349639809,0.0360874636953,west_open,1,False
101,50.5,51,50.74,-8.59683618956,0.03699516315,west_open,1,False
102,51,51.5,51.24,-4.63588588661,0.0246794387199,west_open,1,False
103,51.5,52,51.74,-1.58206190946,0.00905669615892,center,1,False
104,52,52.5,52.24,-0.0653130954573,0.000377423778004,center,1,False
105,52.5,53,52.74,0,0,center,1,False
106,53,53.5,53.24,-0.0972536655736,1.01984575424,center,0.96,True
107,53.5,54,53.74,-0.520413121016,6.13306417915,north_closed,1,False
108,54,54.5,54.24,-0.680112594783,13.2398082554,north_closed,1,False
